id,beds,price,abstract,city,state,create_date,expire_date
16694859,2,4333,"Every day is an open house here at Peter Cooper Village and Stuyvesant town  please call, chat, email or schedule a visit, and the professional leasing team at PCVST will help you find your next Manhattan home. Our apartments start at or around $3000 and offer a variety of finishes, high-end appliances and Manhattan views.None",New York,NY,06/14/2014 10:17:52.673243,06/16/2014 10:19:45.448141
17065347,2,3983,"Peter Cooper Village/ Stuyvesant Town offers an unbeatable combination of city energy and community tranquility. Conveniently located next to the East Village and Gramercy, the apartments are newly renovated, featuring hardwood floors, high ceilings, and custom, modern kitchens & bathrooms. Our no-fee, pet friendly community offers incredible amenities: a full-service onsite concierge, state of the art gym, 15 recreation areas & playgrounds, and 80 acres of beautifully landscaped green space.None",New York,NY,07/02/2014 10:18:01.533469,07/08/2014 10:16:17.995626
16362873,1,2962,"Every day is an open house here at Peter Cooper Village and Stuyvesant town  please call, chat, email or schedule a visit, and the professional leasing team at PCVST will help you find your next Manhattan home. Our apartments start at or around $3000 and offer a variety of finishes, high-end appliances and Manhattan views.None",New York,NY,06/02/2014 10:18:06.505596,06/10/2014 12:44:26.470681
16362952,2,3965,"Every day is an open house here at Peter Cooper Village and Stuyvesant town  please call, chat, email or schedule a visit, and the professional leasing team at PCVST will help you find your next Manhattan home. Our apartments start at or around $3000 and offer a variety of finishes, high-end appliances and Manhattan views.None",New York,NY,06/02/2014 10:18:47.834146,06/10/2014 12:45:09.599242
16362964,1,3452,"Every day is an open house here at Peter Cooper Village and Stuyvesant town  please call, chat, email or schedule a visit, and the professional leasing team at PCVST will help you find your next Manhattan home. Our apartments start at or around $3000 and offer a variety of finishes, high-end appliances and Manhattan views.None",New York,NY,06/02/2014 10:18:53.276642,06/16/2014 10:16:58.153732
16501748,2,4430,"Every day is an open house here at Peter Cooper Village and Stuyvesant town  please call, chat, email or schedule a visit, and the professional leasing team at PCVST will help you find your next Manhattan home. Our apartments start at or around $3000 and offer a variety of finishes, high-end appliances and Manhattan views.None",New York,NY,06/09/2014 10:22:22.674813,06/15/2014 10:19:27.869693
16488637,0,1040,"HOW WILL YOU CHOOSE TO LIVE.... Looking for the ideal Las Colinas luxury apartment lifestyle? You belong where the location is outstanding. Where friendliness is part of the charm. And where exceptional features like a private clubhouse with media lounge, fitness center with yoga & meditation studio and business center make your community a wonderful place to call home. Take a look at Alta Lakeshore Lofts. Stroll around the lake. Meet the people. See the difference.


Community Amenities

    Custom Amenity
    24-Hour Fitness Center with Strength and Cardio            Training Zones
    Additional storage spaces available
    Controlled-Access Parking Garages
    Cyber Cafe Including Wireless Internet Access
    Easy stroll along the lakeside promenade
    Game Room with Billiards
    Landscaped courtyards
    Media Lounge
    Private Clubhouse with Entertaining Kitchen and Wrap-Around Bar
    Two Resort-Style Pools for Sunning, Swimming, and Socializing
    Yoga and Meditation Studio

Apartment Amenities

    Art Niches
    Built-In Computer Desks with Bookshelves *
    Conveniently Pre-Wired for High-Speed Data/Phone/Cable
    Full-Size Washer and Dryer Included
    Granite counter-tops in kitchen and bathroom
    Kitchen islands with built-in cooktops*
    Kitchen Pantry
    Loft-Style Bedrooms*
    Luxurious Carpet in Bedrooms
    Microwave
    Patio/Balcony
    Relaxing Soaking Tubs or Walk-In Showers
    Sealed Concrete Floors Throughout
    Sleek Maple Cabinetry
    Spacious Sunroom or Study *

A quick legal notice: All pricing and promotions subject to change without notice.  
Please call the leasing office for daily rates and specials!None",Irving,TX,06/08/2014 05:22:04.507942,06/18/2014 10:17:35.364622
16694796,2,4257,"Every day is an open house here at Peter Cooper Village and Stuyvesant town  please call, chat, email or schedule a visit, and the professional leasing team at PCVST will help you find your next Manhattan home. Our apartments start at or around $3000 and offer a variety of finishes, high-end appliances and Manhattan views.None",New York,NY,06/14/2014 10:17:49.120918,06/16/2014 10:19:38.295421
16659804,2,930,"  Spring into June Savings! Get June  Off OR a $500 Gift Card!  

  Come visit your new home! Open house hours:  

 Monday, Wednesday, and Friday: 2 PM - 4 PM 

 The open house will meet at 80 Virginia Street. 

 Stop by during our open house hours or call us to book a time that fits your schedule! 

   

 Nestled into the low traffic back end of a mature residential community this 40 Suite, four-storey multi-tenant building is newly renovated and fully equipped for comfortable apartment living! Both one and two bedroom suites with balconies are offered in this quiet residential apartment complex. Units have been freshly painted and were recently renovated, featuring new flooring, light fixtures, and Energuide appliances. Apartments are extremely environmentally friendly due to their low flush toilets, water saver shower heads, tap aerators, and energy efficient lighting. All utilities are included with air conditioning optional. 

 This building offers laundry facilities, secure entrance ways, Bell Satellite TV hook-ups, flower gardens, balconies, and ample parking. It boasts beautiful green space, mature trees and professional landscaping. 

 Virginia Street is conveniently located within walking distance of Kingston s newest outlet mall, and is two streets over from the Greenridge Plaza; which holds a convenience store a Shoppers Drug Mart and a Curves fitness Centre. Virginia Street is on a local bus route, with stops running along length of the street. Also located on the street is one of Ontario s few and highly sought after bilingual Catholic schools, and within walking distance are two elementary public schools and a high school. For recreation, there are five public parks located close by, some with baseball facilities in the summer and outdoor rinks in the winter. The property is also close to the Little Cataraqui Conservation Park and the beautiful Cataraqui River. 

  Features Include:  

 
	 On-site Laundry 
	 Secure Entrance 
	 24 Hour Emergency 
	 Balcony 
	 Insuite Storage 
 

     for more detail click   here      Pictures & virtual tours may vary, please contact the rental agent for specific details and to view the unit. E  None",Kingston,ON,06/12/2014 10:18:39.510621,07/02/2014 10:18:29.454048
17065329,3,2000,"All Stainless Steel appliances (including dishwasher!) Granite countertops. Wood floors. Central Air. Washer and Dryer. Spacious, private, backyard with shed amp; basketball hoop. Great for entertaining! Quiet and Amazing Location: close to main highways, UM campus, Childrens Hospital, Good Schools, Park, Coral Gables, Grove/Brickell area and fantastic shopping centers for every need! Trust me, we lived it amp; loved it!None",Miami,FL,07/02/2014 10:17:49.962189,08/02/2014 16:40:24.678021
17703658,3,2250,"Unrivaled three bedroom, two bath in Roscoe Village walkup features separate living and dining rooms, hardwood floors, new kitchen, dishwasher, new ceramic tiled bath, large bedrooms, central air, great closet space, laundry, storage, deck and parking available!None",Chicago,IL,08/04/2014 14:08:29.886823,08/25/2014 10:16:49.448331
